LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs)
E01000946,Camden 021B,E09000007,Camden,14.8,19148,6
E01000947,Camden 021C,E09000007,Camden,24.7,10959,4
E01000948,Camden 021D,E09000007,Camden,28.9,8522,3
E01000949,Camden 023C,E09000007,Camden,19.6,14696,5
E01000950,Camden 023D,E09000007,Camden,39.7,4347,2
E01000951,Camden 023E,E09000007,Camden,34.2,6164,2
E01000952,Camden 022A,E09000007,Camden,33.4,6511,2
E01000953,Camden 022B,E09000007,Camden,37.2,5146,2
E01000954,Camden 022C,E09000007,Camden,34.9,5931,2
E01000955,Camden 022D,E09000007,Camden,33.2,6579,3
E01000956,Camden 022E,E09000007,Camden,33.6,6420,2
E01000957,Camden 019C,E09000007,Camden,26.3,9984,4
E01000958,Camden 019D,E09000007,Camden,24.5,11047,4
E01000959,Camden 019E,E09000007,Camden,39.0,4567,2
E01000960,Camden 017A,E09000007,Camden,16.5,17492,6
E01000961,Camden 017B,E09000007,Camden,22.6,12315,4
E01000962,Camden 016A,E09000007,Camden,6.1,29401,9
E01000963,Camden 017C,E09000007,Camden,8.8,26116,8
E01000964,Camden 016B,E09000007,Camden,17.9,16265,5
E01000965,Camden 016C,E09000007,Camden,17.4,16618,6
E01000966,Camden 016D,E09000007,Camden,7.0,28370,9
E01000967,Camden 017D,E09000007,Camden,9.3,25349,8
E01000968,Camden 016E,E09000007,Camden,14.3,19671,6
E01000969,Camden 010A,E09000007,Camden,6.3,29120,9
E01000970,Camden 010B,E09000007,Camden,10.3,24158,8
E01000971,Camden 010C,E09000007,Camden,7.9,27230,9
E01000972,Camden 010D,E09000007,Camden,27.1,9542,3
E01000973,Camden 010E,E09000007,Camden,20.6,13867,5
E01000974,Camden 013E,E09000007,Camden,25.1,10710,4
E01000975,Croydon 022A,E09000008,Croydon,17.7,16380,5
E01000976,Croydon 022B,E09000008,Croydon,25.8,10317,4
E01000977,Croydon 022C,E09000008,Croydon,28.3,8864,3
E01000978,Croydon 022D,E09000008,Croydon,20.6,13895,5
E01000979,Croydon 022E,E09000008,Croydon,17.6,16495,6
E01000980,Croydon 017A,E09000008,Croydon,26.5,9879,4
E01000981,Croydon 017B,E09000008,Croydon,14.0,19959,7
E01000982,Croydon 017C,E09000008,Croydon,18.6,15540,5
E01000983,Croydon 017D,E09000008,Croydon,13.5,20498,7
E01000984,Croydon 022F,E09000008,Croydon,30.6,7716,3
E01000985,Croydon 021A,E09000008,Croydon,8.7,26136,8
E01000986,Croydon 021B,E09000008,Croydon,13.0,21003,7
E01000987,Croydon 021C,E09000008,Croydon,9.4,25290,8
E01000989,Croydon 018A,E09000008,Croydon,12.4,21663,7
E01000990,Croydon 045A,E09000008,Croydon,40.3,4189,2
E01000991,Croydon 018B,E09000008,Croydon,8.8,25997,8
E01000992,Croydon 014A,E09000008,Croydon,32.2,7019,3
E01000993,Croydon 021D,E09000008,Croydon,12.2,21934,7
E01000994,Croydon 009A,E09000008,Croydon,19.8,14569,5
E01000995,Croydon 009B,E09000008,Croydon,20.6,13889,5
E01000996,Croydon 009C,E09000008,Croydon,19.9,14397,5
E01000997,Croydon 009D,E09000008,Croydon,22.3,12509,4
E01000998,Croydon 010A,E09000008,Croydon,32.6,6849,3
E01000999,Croydon 009E,E09000008,Croydon,22.8,12197,4
E01001000,Croydon 010B,E09000008,Croydon,28.2,8917,3
E01001001,Croydon 013A,E09000008,Croydon,37.5,5065,2
E01001002,Croydon 009F,E09000008,Croydon,22.2,12648,4
E01001003,Croydon 010C,E09000008,Croydon,25.0,10779,4
E01001004,Croydon 015A,E09000008,Croydon,26.9,9626,3
E01001005,Croydon 019A,E09000008,Croydon,23.2,11930,4
E01001006,Croydon 016A,E09000008,Croydon,30.7,7710,3
E01001007,Croydon 016B,E09000008,Croydon,18.9,15344,5
E01001008,Croydon 019B,E09000008,Croydon,30.4,7840,3
E01001009,Croydon 019C,E09000008,Croydon,23.7,11542,4
E01001010,Croydon 019D,E09000008,Croydon,41.8,3792,2
E01001011,Croydon 019E,E09000008,Croydon,30.9,7617,3
E01001012,Croydon 020A,E09000008,Croydon,37.5,5032,2
E01001013,Croydon 020B,E09000008,Croydon,46.1,2836,1
E01001014,Croydon 024A,E09000008,Croydon,30.3,7895,3
E01001015,Croydon 041A,E09000008,Croydon,24.3,11187,4
E01001016,Croydon 041B,E09000008,Croydon,14.4,19580,6
E01001017,Croydon 043A,E09000008,Croydon,8.0,27025,9
E01001018,Croydon 044A,E09000008,Croydon,6.4,28945,9
E01001019,Croydon 044B,E09000008,Croydon,5.4,30069,10
E01001020,Croydon 044C,E09000008,Croydon,8.4,26497,9
E01001021,Croydon 044D,E09000008,Croydon,35.5,5720,2
E01001022,Croydon 044E,E09000008,Croydon,9.3,25335,8
E01001023,Croydon 041C,E09000008,Croydon,23.4,11765,4
E01001024,Croydon 043B,E09000008,Croydon,8.9,25960,8
E01001025,Croydon 043C,E09000008,Croydon,6.2,29173,9
E01001026,Croydon 043D,E09000008,Croydon,12.7,21373,7
E01001027,Croydon 043E,E09000008,Croydon,10.5,23880,8
E01001028,Croydon 038A,E09000008,Croydon,6.2,29249,9
E01001029,Croydon 038B,E09000008,Croydon,15.0,18934,6
E01001030,Croydon 038C,E09000008,Croydon,7.3,27962,9
E01001031,Croydon 038D,E09000008,Croydon,6.9,28476,9
E01001032,Croydon 035A,E09000008,Croydon,3.8,31701,10
E01001033,Croydon 031A,E09000008,Croydon,14.5,19477,6
E01001034,Croydon 031B,E09000008,Croydon,14.8,19092,6
E01001035,Croydon 027A,E09000008,Croydon,18.4,15799,5
E01001036,Croydon 029A,E09000008,Croydon,12.0,22193,7
E01001037,Croydon 029B,E09000008,Croydon,20.4,14015,5
E01001038,Croydon 029C,E09000008,Croydon,18.5,15646,5
E01001039,Croydon 029D,E09000008,Croydon,8.6,26259,8
E01001040,Croydon 029E,E09000008,Croydon,15.2,18763,6
E01001041,Croydon 031C,E09000008,Croydon,21.1,13451,5
E01001042,Croydon 024B,E09000008,Croydon,36.6,5333,2
E01001043,Croydon 027B,E09000008,Croydon,31.5,7324,3
E01001044,Croydon 023A,E09000008,Croydon,10.2,24251,8
E01001045,Croydon 027C,E09000008,Croydon,35.8,5615,2
E01001046,Croydon 023B,E09000008,Croydon,9.8,24801,8
E01001047,Croydon 027D,E09000008,Croydon,22.1,12736,4
E01001048,Croydon 020C,E09000008,Croydon,28.9,8534,3
E01001049,Croydon 023C,E09000008,Croydon,12.3,21805,7
E01001050,Croydon 023D,E09000008,Croydon,22.0,12739,4
E01001051,Croydon 030A,E09000008,Croydon,39.1,4553,2
E01001052,Croydon 030B,E09000008,Croydon,42.1,3683,2
E01001053,Croydon 032A,E09000008,Croydon,32.4,6916,3
E01001054,Croydon 030C,E09000008,Croydon,34.9,5919,2
E01001055,Croydon 032B,E09000008,Croydon,38.9,4623,2
E01001056,Croydon 030D,E09000008,Croydon,37.9,4911,2
E01001057,Croydon 030E,E09000008,Croydon,40.5,4109,2
E01001058,Croydon 034A,E09000008,Croydon,11.6,22615,7
E01001059,Croydon 034B,E09000008,Croydon,15.2,18690,6
E01001060,Croydon 034C,E09000008,Croydon,20.5,13900,5
E01001061,Croydon 034D,E09000008,Croydon,23.7,11605,4
E01001062,Croydon 026A,E09000008,Croydon,9.9,24671,8
E01001063,Croydon 026B,E09000008,Croydon,6.9,28486,9
E01001064,Croydon 026C,E09000008,Croydon,12.8,21223,7
E01001065,Croydon 034E,E09000008,Croydon,15.9,18054,6
E01001066,Croydon 034F,E09000008,Croydon,38.9,4602,2
E01001067,Croydon 041D,E09000008,Croydon,7.0,28333,9
E01001068,Croydon 042A,E09000008,Croydon,17.3,16728,6
E01001069,Croydon 040A,E09000008,Croydon,9.8,24807,8
E01001070,Croydon 040B,E09000008,Croydon,14.5,19494,6
E01001071,Croydon 042B,E09000008,Croydon,12.9,21108,7
E01001072,Croydon 042C,E09000008,Croydon,8.2,26813,9
E01001073,Croydon 037A,E09000008,Croydon,16.3,17617,6
E01001074,Croydon 041E,E09000008,Croydon,18.3,15845,5
E01001075,Croydon 040C,E09000008,Croydon,11.6,22665,7
E01001076,Croydon 036A,E09000008,Croydon,36.2,5461,2
E01001077,Croydon 032C,E09000008,Croydon,18.5,15639,5
E01001078,Croydon 032D,E09000008,Croydon,36.0,5536,2
E01001079,Croydon 036B,E09000008,Croydon,34.0,6279,2
E01001080,Croydon 036C,E09000008,Croydon,49.6,2247,1
E01001081,Croydon 036D,E09000008,Croydon,34.6,6015,2
E01001082,Croydon 032E,E09000008,Croydon,33.0,6659,3
E01001083,Croydon 003A,E09000008,Croydon,13.4,20660,7
E01001084,Croydon 002A,E09000008,Croydon,14.0,19960,7
E01001085,Croydon 004A,E09000008,Croydon,18.6,15555,5
E01001086,Croydon 003B,E09000008,Croydon,16.7,17278,6
E01001087,Croydon 003C,E09000008,Croydon,24.0,11394,4
E01001088,Croydon 004B,E09000008,Croydon,16.1,17821,6
E01001089,Croydon 004C,E09000008,Croydon,28.7,8631,3
E01001090,Croydon 004D,E09000008,Croydon,23.4,11770,4
E01001091,Croydon 004E,E09000008,Croydon,15.4,18543,6
E01001092,Croydon 037B,E09000008,Croydon,19.8,14497,5
E01001093,Croydon 037C,E09000008,Croydon,11.7,22543,7
E01001094,Croydon 038E,E09000008,Croydon,8.5,26468,9
E01001095,Croydon 031D,E09000008,Croydon,16.3,17663,6
E01001096,Croydon 037D,E09000008,Croydon,7.1,28195,9
E01001097,Croydon 037E,E09000008,Croydon,22.4,12443,4
E01001098,Croydon 037F,E09000008,Croydon,7.5,27652,9
E01001099,Croydon 040D,E09000008,Croydon,19.7,14611,5
E01001100,Croydon 031E,E09000008,Croydon,8.8,26012,8
E01001101,Croydon 035B,E09000008,Croydon,5.1,30394,10
E01001102,Croydon 035C,E09000008,Croydon,7.1,28156,9
E01001103,Croydon 039A,E09000008,Croydon,7.2,28082,9
E01001104,Croydon 042D,E09000008,Croydon,5.8,29727,10
E01001105,Croydon 039B,E09000008,Croydon,20.8,13713,5
E01001106,Croydon 039C,E09000008,Croydon,12.6,21553,7
E01001107,Croydon 035D,E09000008,Croydon,7.0,28273,9
E01001108,Croydon 035E,E09000008,Croydon,5.1,30386,10
E01001109,Croydon 013B,E09000008,Croydon,32.1,7046,3
E01001110,Croydon 020D,E09000008,Croydon,43.0,3477,2
E01001111,Croydon 010D,E09000008,Croydon,28.5,8781,3
E01001112,Croydon 013C,E09000008,Croydon,30.4,7851,3
E01001113,Croydon 013D,E09000008,Croydon,28.4,8829,3
E01001114,Croydon 013E,E09000008,Croydon,41.5,3866,2
E01001115,Croydon 015B,E09000008,Croydon,44.4,3186,1
E01001116,Croydon 013F,E09000008,Croydon,28.9,8560,3
E01001117,Croydon 015C,E09000008,Croydon,27.5,9323,3
E01001118,Croydon 020E,E09000008,Croydon,40.5,4115,2
E01001119,Croydon 034G,E09000008,Croydon,8.9,25971,8
E01001120,Croydon 033A,E09000008,Croydon,10.0,24489,8
E01001121,Croydon 039D,E09000008,Croydon,7.2,28016,9
E01001122,Croydon 033B,E09000008,Croydon,9.5,25084,8
E01001123,Croydon 033C,E09000008,Croydon,9.2,25485,8
E01001124,Croydon 033D,E09000008,Croydon,5.8,29636,10
E01001125,Croydon 033E,E09000008,Croydon,12.1,22109,7
E01001126,Croydon 034H,E09000008,Croydon,6.8,28547,9
E01001127,Croydon 025A,E09000008,Croydon,9.4,25246,8
E01001128,Croydon 025B,E09000008,Croydon,34.9,5944,2
E01001129,Croydon 026D,E09000008,Croydon,4.6,30882,10
E01001130,Croydon 025C,E09000008,Croydon,37.2,5163,2
E01001131,Croydon 018C,E09000008,Croydon,12.7,21386,7
E01001132,Croydon 018D,E09000008,Croydon,9.3,25449,8
E01001133,Croydon 026E,E09000008,Croydon,11.3,22956,7
E01001134,Croydon 018E,E09000008,Croydon,9.9,24648,8
E01001135,Croydon 025D,E09000008,Croydon,8.6,26298,9
E01001136,Croydon 007A,E09000008,Croydon,32.9,6706,3
E01001137,Croydon 001A,E09000008,Croydon,23.5,11694,4
E01001138,Croydon 001B,E09000008,Croydon,18.6,15577,5
E01001139,Croydon 007B,E09000008,Croydon,19.6,14729,5
E01001140,Croydon 007C,E09000008,Croydon,21.7,12982,4
E01001141,Croydon 008A,E09000008,Croydon,27.5,9313,3
E01001142,Croydon 007D,E09000008,Croydon,21.4,13217,5
E01001143,Croydon 008B,E09000008,Croydon,30.2,7941,3
E01001144,Croydon 007E,E09000008,Croydon,37.1,5183,2
E01001145,Croydon 008C,E09000008,Croydon,39.9,4281,2
E01001146,Croydon 006A,E09000008,Croydon,19.7,14580,5
E01001147,Croydon 005A,E09000008,Croydon,34.0,6270,2
E01001148,Croydon 005B,E09000008,Croydon,23.2,11948,4
E01001149,Croydon 006B,E09000008,Croydon,16.1,17888,6
E01001150,Croydon 006C,E09000008,Croydon,20.5,13899,5
E01001151,Croydon 005C,E09000008,Croydon,40.8,4019,2
E01001152,Croydon 005D,E09000008,Croydon,37.2,5158,2
E01001153,Croydon 006D,E09000008,Croydon,22.7,12275,4
E01001154,Croydon 006E,E09000008,Croydon,28.9,8530,3
E01001155,Croydon 010E,E09000008,Croydon,43.8,3291,2
E01001156,Croydon 001C,E09000008,Croydon,26.2,10027,4
E01001157,Croydon 002B,E09000008,Croydon,18.2,15973,5
E01001158,Croydon 005E,E09000008,Croydon,20.4,13982,5
E01001159,Croydon 002C,E09000008,Croydon,14.5,19487,6
E01001160,Croydon 002D,E09000008,Croydon,13.7,20215,7
E01001161,Croydon 003D,E09000008,Croydon,42.6,3575,2
E01001162,Croydon 001D,E09000008,Croydon,28.4,8850,3
E01001163,Croydon 002E,E09000008,Croydon,16.3,17644,6
E01001164,Croydon 001E,E09000008,Croydon,20.5,13940,5
E01001165,Croydon 024C,E09000008,Croydon,24.2,11281,4
E01001166,Croydon 024D,E09000008,Croydon,32.1,7025,3
E01001167,Croydon 028A,E09000008,Croydon,21.8,12891,4
E01001168,Croydon 024E,E09000008,Croydon,21.2,13421,5
E01001169,Croydon 028B,E09000008,Croydon,32.7,6795,3
E01001170,Croydon 027E,E09000008,Croydon,27.1,9544,3
E01001171,Croydon 028C,E09000008,Croydon,24.6,11031,4
E01001172,Croydon 028D,E09000008,Croydon,43.1,3467,2
E01001173,Croydon 028E,E09000008,Croydon,19.8,14566,5
E01001174,Croydon 011A,E09000008,Croydon,22.5,12417,4
E01001175,Croydon 011B,E09000008,Croydon,30.6,7742,3
E01001176,Croydon 011C,E09000008,Croydon,22.7,12219,4
E01001177,Croydon 016C,E09000008,Croydon,31.6,7251,3
E01001178,Croydon 015D,E09000008,Croydon,58.2,1096,1
E01001179,Croydon 016D,E09000008,Croydon,20.7,13775,5
E01001180,Croydon 016E,E09000008,Croydon,27.8,9127,3
E01001181,Croydon 015E,E09000008,Croydon,42.4,3607,2
E01001182,Croydon 011D,E09000008,Croydon,21.7,13038,4
E01001183,Croydon 011E,E09000008,Croydon,24.1,11301,4
E01001184,Croydon 011F,E09000008,Croydon,16.9,17067,6
E01001185,Croydon 014B,E09000008,Croydon,20.0,14358,5
E01001186,Croydon 014C,E09000008,Croydon,29.1,8461,3
E01001187,Croydon 017E,E09000008,Croydon,20.6,13847,5
E01001188,Croydon 014D,E09000008,Croydon,28.2,8950,3
E01001189,Croydon 045B,E09000008,Croydon,17.7,16383,5
E01001190,Croydon 045C,E09000008,Croydon,27.4,9331,3
E01001191,Croydon 008D,E09000008,Croydon,34.9,5914,2
E01001192,Croydon 008E,E09000008,Croydon,27.8,9166,3
E01001193,Croydon 014E,E09000008,Croydon,34.4,6123,2
E01001194,Croydon 045D,E09000008,Croydon,18.3,15918,5
E01032569,Croydon 045E,E09000008,Croydon,45.2,3024,1
E01001195,Ealing 021A,E09000009,Ealing,14.0,19967,7
E01001196,Ealing 015A,E09000009,Ealing,38.0,4857,2
E01001197,Ealing 021B,E09000009,Ealing,22.6,12321,4
E01001198,Ealing 021C,E09000009,Ealing,14.8,19095,6
E01001199,Ealing 021D,E09000009,Ealing,22.3,12563,4
E01001200,Ealing 025A,E09000009,Ealing,16.0,17969,6
E01001201,Ealing 025B,E09000009,Ealing,17.6,16425,6
E01001202,Ealing 025C,E09000009,Ealing,33.8,6344,2
E01001203,Ealing 025D,E09000009,Ealing,32.8,6778,3
E01001204,Ealing 018A,E09000009,Ealing,13.7,20285,7
E01001205,Ealing 018B,E09000009,Ealing,31.0,7545,3
E01001206,Ealing 018C,E09000009,Ealing,42.3,3637,2
E01001207,Ealing 018D,E09000009,Ealing,16.2,17745,6
E01001208,Ealing 018E,E09000009,Ealing,11.8,22354,7
E01001209,Ealing 013A,E09000009,Ealing,7.1,28190,9
E01001210,Ealing 016A,E09000009,Ealing,50.7,2075,1
E01001211,Ealing 013B,E09000009,Ealing,10.4,24028,8
E01001212,Ealing 018F,E09000009,Ealing,13.5,20550,7
E01001213,Ealing 023A,E09000009,Ealing,28.2,8943,3
E01001214,Ealing 023B,E09000009,Ealing,15.9,18010,6
E01001215,Ealing 023C,E09000009,Ealing,30.2,7934,3
E01001216,Ealing 023D,E09000009,Ealing,22.2,12636,4
E01001217,Ealing 014A,E09000009,Ealing,16.1,17865,6
E01001218,Ealing 012A,E09000009,Ealing,36.3,5429,2
E01001219,Ealing 029A,E09000009,Ealing,36.0,5527,2
E01001220,Ealing 029B,E09000009,Ealing,47.7,2523,1
E01001221,Ealing 020A,E09000009,Ealing,24.1,11345,4
E01001222,Ealing 019A,E09000009,Ealing,21.9,12874,4
E01001223,Ealing 020B,E09000009,Ealing,11.7,22559,7
E01001224,Ealing 019B,E09000009,Ealing,9.1,25604,8
E01001225,Ealing 020C,E09000009,Ealing,21.7,12984,4
E01001226,Ealing 019C,E09000009,Ealing,13.4,20668,7
E01001227,Ealing 019D,E09000009,Ealing,10.3,24152,8
E01001228,Ealing 019E,E09000009,Ealing,11.4,22860,7
E01001229,Ealing 031A,E09000009,Ealing,30.2,7923,3
E01001230,Ealing 031B,E09000009,Ealing,21.3,13358,5
E01001231,Ealing 027A,E09000009,Ealing,13.8,20102,7
E01001232,Ealing 031C,E09000009,Ealing,23.8,11537,4
E01001233,Ealing 031D,E09000009,Ealing,23.8,11472,4
E01001234,Ealing 027B,E09000009,Ealing,22.9,12109,4
E01001235,Ealing 020D,E09000009,Ealing,14.2,19722,7
E01001236,Ealing 020E,E09000009,Ealing,16.3,17674,6
E01001237,Ealing 031E,E09000009,Ealing,17.0,16963,6
E01001238,Ealing 015B,E09000009,Ealing,24.5,11044,4
E01001239,Ealing 015C,E09000009,Ealing,32.7,6813,3
E01001240,Ealing 024A,E09000009,Ealing,20.5,13977,5
E01001241,Ealing 024B,E09000009,Ealing,22.2,12616,4
E01001242,Ealing 024C,E09000009,Ealing,26.9,9639,3
E01001243,Ealing 024D,E09000009,Ealing,25.4,10522,4
E01001244,Ealing 024E,E09000009,Ealing,28.9,8569,3
E01001245,Ealing 024F,E09000009,Ealing,15.4,18507,6
E01001246,Ealing 015D,E09000009,Ealing,32.0,7075,3
E01001247,Ealing 015E,E09000009,Ealing,21.3,13338,5
E01001248,Ealing 035A,E09000009,Ealing,17.4,16655,6
E01001249,Ealing 028A,E09000009,Ealing,41.5,3848,2
E01001250,Ealing 028B,E09000009,Ealing,37.1,5176,2
E01001251,Ealing 030A,E09000009,Ealing,18.7,15489,5
E01001252,Ealing 030B,E09000009,Ealing,25.7,10397,4
E01001253,Ealing 030C,E09000009,Ealing,15.6,18300,6
E01001254,Ealing 030D,E09000009,Ealing,14.6,19351,6
E01001255,Ealing 028C,E09000009,Ealing,13.5,20547,7
E01001257,Ealing 008A,E09000009,Ealing,40.8,4021,2
E01001258,Ealing 010B,E09000009,Ealing,15.9,18071,6
E01001259,Ealing 014B,E09000009,Ealing,20.1,14241,5
E01001260,Ealing 012B,E09000009,Ealing,20.7,13738,5
E01001261,Ealing 012C,E09000009,Ealing,22.7,12265,4
E01001262,Ealing 010C,E09000009,Ealing,31.3,7386,3
E01001263,Ealing 010D,E09000009,Ealing,34.5,6069,2
E01001264,Ealing 010E,E09000009,Ealing,24.4,11124,4
E01001265,Ealing 006A,E09000009,Ealing,20.6,13878,5
E01001266,Ealing 006B,E09000009,Ealing,16.1,17834,6
E01001267,Ealing 006C,E09000009,Ealing,31.8,7140,3
E01001268,Ealing 012D,E09000009,Ealing,18.5,15642,5
E01001269,Ealing 001A,E09000009,Ealing,13.6,20420,7
E01001270,Ealing 004A,E09000009,Ealing,15.7,18289,6
E01001271,Ealing 001B,E09000009,Ealing,16.9,17106,6
E01001272,Ealing 006D,E09000009,Ealing,19.1,15184,5
E01001273,Ealing 020F,E09000009,Ealing,9.5,25179,8
E01001274,Ealing 020G,E09000009,Ealing,8.5,26422,9
E01001275,Ealing 020H,E09000009,Ealing,19.0,15212,5
E01001276,Ealing 011A,E09000009,Ealing,20.6,13885,5
E01001277,Ealing 011B,E09000009,Ealing,17.5,16527,6
E01001278,Ealing 011C,E09000009,Ealing,23.8,11526,4
E01001279,Ealing 013C,E09000009,Ealing,7.2,28128,9
E01001280,Ealing 011D,E09000009,Ealing,13.7,20279,7
E01001281,Ealing 013D,E09000009,Ealing,7.5,27738,9
E01001282,Ealing 016B,E09000009,Ealing,35.0,5881,2
E01001283,Ealing 016C,E09000009,Ealing,40.1,4237,2
E01001284,Ealing 022A,E09000009,Ealing,15.8,18191,6
E01001285,Ealing 016D,E09000009,Ealing,23.2,11937,4
E01001286,Ealing 016E,E09000009,Ealing,23.5,11665,4
E01001287,Ealing 016F,E09000009,Ealing,31.2,7443,3
E01001288,Ealing 022B,E09000009,Ealing,16.0,17925,6
E01001289,Ealing 022C,E09000009,Ealing,15.5,18420,6
E01001290,Ealing 022D,E09000009,Ealing,12.7,21401,7
E01001291,Ealing 014C,E09000009,Ealing,19.4,14947,5
E01001292,Ealing 014D,E09000009,Ealing,13.9,20084,7
E01001293,Ealing 014E,E09000009,Ealing,17.4,16678,6
E01001294,Ealing 017A,E09000009,Ealing,22.5,12398,4
E01001295,Ealing 017B,E09000009,Ealing,17.2,16799,6
E01001296,Ealing 017C,E09000009,Ealing,22.0,12764,4
E01001297,Ealing 017D,E09000009,Ealing,23.4,11800,4
E01001298,Ealing 017E,E09000009,Ealing,28.0,9045,3
E01001299,Ealing 035B,E09000009,Ealing,8.0,27061,9
E01001300,Ealing 039A,E09000009,Ealing,8.9,25967,8
E01001301,Ealing 039B,E09000009,Ealing,20.0,14321,5
E01001302,Ealing 039C,E09000009,Ealing,11.7,22524,7
E01001303,Ealing 032A,E09000009,Ealing,9.9,24632,8
E01001304,Ealing 039D,E09000009,Ealing,14.1,19885,7
E01001305,Ealing 035C,E09000009,Ealing,7.7,27464,9
E01001306,Ealing 035D,E09000009,Ealing,8.3,26685,9
E01001307,Ealing 002A,E09000009,Ealing,11.1,23210,8
E01001308,Ealing 002B,E09000009,Ealing,11.4,22868,7
E01001309,Ealing 001C,E09000009,Ealing,15.1,18839,6
E01001310,Ealing 001D,E09000009,Ealing,18.6,15589,5
E01001311,Ealing 001E,E09000009,Ealing,28.9,8519,3
E01001312,Ealing 002C,E09000009,Ealing,16.7,17313,6
E01001313,Ealing 002D,E09000009,Ealing,13.7,20272,7
E01001314,Ealing 002E,E09000009,Ealing,11.0,23394,8
E01001315,Ealing 003A,E09000009,Ealing,18.3,15913,5
E01001316,Ealing 003B,E09000009,Ealing,31.8,7159,3
E01001317,Ealing 003C,E09000009,Ealing,26.5,9896,4
E01001318,Ealing 003D,E09000009,Ealing,36.0,5532,2
E01001319,Ealing 004B,E09000009,Ealing,18.0,16095,5
E01001320,Ealing 003E,E09000009,Ealing,41.6,3831,2
E01001321,Ealing 003F,E09000009,Ealing,26.1,10147,4
E01001322,Ealing 004C,E09000009,Ealing,23.9,11458,4
E01001323,Ealing 004D,E09000009,Ealing,23.1,12015,4
E01001324,Ealing 008B,E09000009,Ealing,33.5,6468,2
E01001325,Ealing 009A,E09000009,Ealing,26.6,9812,3
E01001326,Ealing 008C,E09000009,Ealing,33.1,6645,3
E01001327,Ealing 009B,E09000009,Ealing,30.8,7636,3
E01001328,Ealing 009C,E09000009,Ealing,33.6,6406,2
E01001329,Ealing 009D,E09000009,Ealing,24.1,11307,4
E01001330,Ealing 008D,E09000009,Ealing,42.9,3501,2
E01001331,Ealing 009E,E09000009,Ealing,37.3,5126,2
E01001332,Ealing 008E,E09000009,Ealing,39.9,4277,2
E01001333,Ealing 038A,E09000009,Ealing,39.7,4369,2
E01001334,Ealing 029C,E09000009,Ealing,41.2,3919,2
E01001335,Ealing 038B,E09000009,Ealing,20.9,13665,5
E01001336,Ealing 038C,E09000009,Ealing,24.9,10825,4
E01001337,Ealing 029D,E09000009,Ealing,35.7,5627,2
E01001338,Ealing 029E,E09000009,Ealing,27.2,9484,3
E01001339,Ealing 029F,E09000009,Ealing,35.6,5657,2
E01001340,Ealing 029G,E09000009,Ealing,38.0,4859,2
E01001341,Ealing 005A,E09000009,Ealing,12.8,21235,7
E01001342,Ealing 005B,E09000009,Ealing,14.8,19108,6
E01001343,Ealing 005C,E09000009,Ealing,15.4,18564,6
E01001344,Ealing 007A,E09000009,Ealing,18.4,15761,5
E01001345,Ealing 005D,E09000009,Ealing,17.5,16547,6
E01001346,Ealing 007B,E09000009,Ealing,12.0,22171,7
E01001347,Ealing 007C,E09000009,Ealing,18.7,15517,5
E01001348,Ealing 007D,E09000009,Ealing,19.4,14879,5
E01001349,Ealing 006E,E09000009,Ealing,33.6,6422,2
E01001350,Ealing 027C,E09000009,Ealing,16.2,17789,6
E01001351,Ealing 025E,E09000009,Ealing,28.0,9030,3
E01001352,Ealing 027D,E09000009,Ealing,15.2,18684,6
E01001353,Ealing 033A,E09000009,Ealing,23.4,11787,4
E01001354,Ealing 027E,E09000009,Ealing,22.2,12592,4
E01001355,Ealing 033B,E09000009,Ealing,24.5,11088,4
E01001356,Ealing 033C,E09000009,Ealing,45.9,2863,1
E01001357,Ealing 033D,E09000009,Ealing,42.0,3722,2
E01001358,Ealing 033E,E09000009,Ealing,45.8,2888,1
E01001359,Ealing 026A,E09000009,Ealing,24.9,10824,4
E01001360,Ealing 026B,E09000009,Ealing,29.1,8447,3
E01001361,Ealing 023E,E09000009,Ealing,34.2,6178,2
E01001362,Ealing 026C,E09000009,Ealing,29.2,8413,3
E01001363,Ealing 026D,E09000009,Ealing,26.2,10083,4
E01001364,Ealing 026E,E09000009,Ealing,42.2,3672,2
E01001365,Ealing 026F,E09000009,Ealing,28.0,9026,3
E01001366,Ealing 037A,E09000009,Ealing,28.5,8743,3
E01001367,Ealing 037B,E09000009,Ealing,30.3,7890,3
E01001368,Ealing 037C,E09000009,Ealing,28.9,8520,3
E01001369,Ealing 038D,E09000009,Ealing,24.9,10823,4
E01001370,Ealing 037D,E09000009,Ealing,25.9,10253,4
E01001371,Ealing 037E,E09000009,Ealing,27.1,9509,3
E01001372,Ealing 037F,E09000009,Ealing,31.0,7551,3
E01001373,Ealing 037G,E09000009,Ealing,26.3,9995,4
E01001374,Ealing 040A,E09000009,Ealing,11.2,23089,8
E01001375,Ealing 034A,E09000009,Ealing,5.5,29992,10
E01001376,Ealing 040B,E09000009,Ealing,23.9,11416,4
E01001377,Ealing 034B,E09000009,Ealing,8.2,26779,9
E01001379,Ealing 034C,E09000009,Ealing,6.5,28867,9
E01001380,Ealing 040C,E09000009,Ealing,12.5,21610,7
E01001381,Ealing 034D,E09000009,Ealing,18.0,16099,5
E01001382,Ealing 032B,E09000009,Ealing,8.4,26572,9
